"app_id","title","date_release","win","mac","linux","rating","positive_ratio","user_reviews","price_final","price_original","discount","steam_deck"
258810,"Talisman - The Reaper Expansion",2014-01-10,TRUE,TRUE,FALSE,"Positive",84,26,4.99,4.99,0,TRUE
1064272,"Halo 3: ODST",2019-12-03,TRUE,FALSE,FALSE,"Very Positive",86,1139,4.99,4.99,0,TRUE
1832720,"超级捕鱼",2022-02-24,TRUE,FALSE,FALSE,"Mixed",68,128,0,0,0,TRUE
363500,"Ossuary",2015-05-27,TRUE,FALSE,FALSE,"Positive",88,27,9.99,9.99,0,TRUE
1265120,"Freddy Spaghetti",2020-04-01,TRUE,FALSE,FALSE,"Positive",90,32,4.99,4.99,0,TRUE
1838290,"LOUD: My Road to Fame",2023-02-23,TRUE,FALSE,FALSE,"Very Positive",94,56,6.69,9.99,33,TRUE
2069760,"Partum Artifex",2023-02-26,TRUE,FALSE,FALSE,"Positive",97,36,9.99,9.99,0,TRUE
1471490,"Bob Help Them",2020-11-25,TRUE,FALSE,FALSE,"Positive",100,16,1.19,5.99,80,TRUE
491950,"Orwell: Keeping an Eye On You",2016-10-27,TRUE,TRUE,TRUE,"Very Positive",91,7658,9.99,9.99,0,TRUE
693210,"Grimtale Island",2020-11-26,TRUE,FALSE,FALSE,"Mixed",60,33,2.99,2.99,0,TRUE
207530,"Noitu Love 2: Devolution",2012-04-23,TRUE,FALSE,FALSE,"Very Positive",93,491,4.99,4.99,0,TRUE
962220,"Singularity: Tactics Arena",2019-12-17,TRUE,TRUE,FALSE,"Positive",89,19,9.99,9.99,0,TRUE
300510,"Them - The Summoning",2014-05-16,TRUE,FALSE,FALSE,"Mixed",47,17,2.99,2.99,0,TRUE
222610,"Train Simulator: DB BR 411 'ICE-T' EMU Add-On",2013-11-07,TRUE,FALSE,FALSE,"Mixed",65,41,19.99,19.99,0,TRUE
1535780,"Imp of the Sun",2022-03-24,TRUE,FALSE,FALSE,"Very Positive",81,54,19.99,19.99,0,TRUE
1086970,"Battle Bruise 2",2020-01-21,TRUE,FALSE,FALSE,"Mostly Positive",79,24,4.99,4.99,0,TRUE
1305960,"武林桃源乡 The Arcadia Of Wulin",2020-08-14,TRUE,FALSE,FALSE,"Mixed",57,21,6.99,6.99,0,TRUE
1669720,"Tribes of Midgard - Pre-Order Content",2021-08-13,TRUE,FALSE,FALSE,"Mixed",60,10,4.99,4.99,0,TRUE
1904160,"Trainz Plus",2022-05-30,TRUE,TRUE,FALSE,"Mostly Positive",70,31,7.99,7.99,0,TRUE
754790,"Field of Glory II: Legions Triumphant",2018-03-08,TRUE,FALSE,FALSE,"Positive",100,10,5.99,14.99,60,TRUE
1019020,"The Abbey - Director's cut",2019-03-06,TRUE,FALSE,FALSE,"Positive",81,11,11.99,11.99,0,TRUE
416450,"Emporea: Realms of War and Magic",2016-06-08,TRUE,TRUE,FALSE,"Mixed",66,470,0,0,0,TRUE
528055,"Tales of Berseria™ - Idolm@ster Costumes Set",2017-02-07,TRUE,FALSE,FALSE,"Very Positive",94,52,5.99,5.99,0,TRUE
614560,"Battleship Bishojo",2017-03-29,TRUE,TRUE,TRUE,"Mostly Negative",30,10,5.19,12.99,60,TRUE
1121930,"Synth Riders Beatmap Editor",2019-09-06,TRUE,FALSE,FALSE,"Positive",85,35,0,0,0,TRUE
113420,"Fallen Earth Classic",2012-02-22,TRUE,FALSE,FALSE,"Mixed",58,7414,0,0,0,TRUE
296870,"Dreaming Sarah",2015-03-12,TRUE,FALSE,TRUE,"Very Positive",92,2010,5.99,5.99,0,TRUE
1157220,"Nebuchadnezzar",2021-02-17,TRUE,FALSE,TRUE,"Very Positive",81,1045,19.99,19.99,0,TRUE
1463530,"Escape the Underground",2021-03-15,TRUE,TRUE,FALSE,"Very Positive",91,95,0,0,0,TRUE
304410,"Hexcells Infinite",2014-09-01,TRUE,TRUE,TRUE,"Overwhelmingly Positive",97,3267,4.99,4.99,0,TRUE
1719130,"The Ghost Cage",2021-10-11,TRUE,FALSE,FALSE,"Very Positive",96,154,0,0,0,TRUE
1376690,"蜀山幻剑录 Sword of Shushan",2020-09-24,TRUE,FALSE,FALSE,"Mixed",53,89,9.99,9.99,0,TRUE
1704470,"Roguebook - Fugoro Merchant of Wonders",2022-02-24,TRUE,TRUE,TRUE,"Mostly Positive",77,22,9.99,9.99,0,TRUE
525740,"Slashy Hero",2016-10-18,TRUE,TRUE,FALSE,"Positive",92,26,6.99,6.99,0,TRUE
594820,"An Oath to the Stars",2017-08-03,TRUE,TRUE,TRUE,"Mixed",63,19,0,0,0,TRUE
716660,"Warhammer 40000: Sanctus Reach - Sons of Cadia",2017-11-09,TRUE,FALSE,FALSE,"Mostly Positive",72,37,14.99,14.99,0,TRUE
639560,"Spacescape",2018-03-28,TRUE,FALSE,FALSE,"Very Positive",80,61,7.99,7.99,0,TRUE
1724020,"Space Tower Defense",2021-09-09,TRUE,FALSE,FALSE,"Mixed",56,16,3.99,3.99,0,TRUE
1826500,"Endless Match",2021-12-05,TRUE,FALSE,FALSE,"Positive",90,11,1.99,19.99,90,TRUE
1052150,"WoozyHero 乌贼英雄-欢乐联机版",2019-09-07,TRUE,TRUE,FALSE,"Positive",82,34,3.99,3.99,0,TRUE
465060,"EXZEAL",2016-07-14,TRUE,FALSE,FALSE,"Positive",80,15,11.99,11.99,0,TRUE
1087130,"Just Cause™ 4: Brawler Mech",2019-10-24,TRUE,FALSE,FALSE,"Very Positive",81,54,4.99,4.99,0,TRUE
265190,"THIEF DLC: The Forsaken - Challenge Map",2014-02-24,TRUE,TRUE,FALSE,"Mixed",55,27,4.99,4.99,0,TRUE
500170,"Urlaubsflug Simulator – Holiday Flight Simulator",2017-04-13,TRUE,FALSE,FALSE,"Mixed",57,97,12.99,12.99,0,TRUE
453810,"Blasting Agent: Ultimate Edition",2016-08-17,TRUE,FALSE,FALSE,"Mixed",41,24,2.99,2.99,0,TRUE
656240,"Heat",2020-06-25,TRUE,FALSE,FALSE,"Mixed",49,2557,19.99,19.99,0,TRUE
1004860,"The Secret Order 7: Shadow Breach",2019-02-28,TRUE,TRUE,TRUE,"Very Positive",87,106,14.99,14.99,0,TRUE
2255350,"Wild Seas",2023-02-05,TRUE,FALSE,FALSE,"Positive",100,13,2.99,2.99,0,TRUE
1061090,"Jump King",2019-05-03,TRUE,FALSE,FALSE,"Very Positive",90,9072,12.99,12.99,0,TRUE
2199360,"Cow Girl 2",2022-12-09,TRUE,FALSE,FALSE,"Mixed",55,18,0.99,0.99,0,TRUE
674890,"Mechsprofit: Mech Tycoon Simulator",2018-05-04,TRUE,FALSE,FALSE,"Mostly Positive",75,12,0,0,0,TRUE
730300,"Super Star Panda",2018-01-19,TRUE,FALSE,FALSE,"Positive",84,19,4.99,4.99,0,TRUE
1258590,"Locked Up",2020-04-23,TRUE,FALSE,FALSE,"Mostly Positive",79,819,12.99,12.99,0,TRUE
542200,"Animal Lover",2017-02-14,TRUE,TRUE,FALSE,"Very Positive",89,103,9.99,9.99,0,TRUE
277761,"Train Simulator: West Highland Line (South) Route Add-On",2015-08-06,TRUE,FALSE,FALSE,"Mostly Positive",76,21,39.99,39.99,0,TRUE
642750,"Stellaris: Synthetic Dawn Story Pack",2017-09-21,TRUE,TRUE,TRUE,"Mostly Positive",72,748,4.99,9.99,50,TRUE
1725660,"Opus Castle",2021-11-09,TRUE,FALSE,FALSE,"Mixed",57,42,0,0,0,TRUE
570420,"X Rebirth VR Edition",2017-12-07,TRUE,FALSE,FALSE,"Mixed",61,204,19.99,39.99,50,TRUE
1064660,"The Death of Erin Myers",2019-04-26,TRUE,FALSE,FALSE,"Mostly Positive",78,113,1.99,1.99,0,TRUE
750170,"Diesel Railcar Simulator",2018-03-05,TRUE,FALSE,FALSE,"Very Positive",93,242,19.99,19.99,0,TRUE
2357570,"Overwatch® 2",2023-08-10,TRUE,FALSE,FALSE,"Overwhelmingly Negative",9,181198,0,0,0,TRUE
809000,"Art of Murder - FBI Confidential",2018-07-13,TRUE,FALSE,FALSE,"Mostly Positive",70,137,1.24,4.99,75,TRUE
1272060,"Premier Manager 02/03",2020-07-31,TRUE,FALSE,FALSE,"Mostly Positive",72,11,0.74,2.99,75,TRUE
268710,"Zero Point",2014-10-28,TRUE,FALSE,FALSE,"Mixed",47,53,0,0,0,TRUE
392000,"TRON RUN/r",2016-02-16,TRUE,FALSE,FALSE,"Mostly Positive",78,306,5.99,19.99,70,TRUE
1082680,"The Walking Dead Onslaught",2020-09-29,TRUE,FALSE,FALSE,"Mixed",42,757,29.99,29.99,0,TRUE
1243750,"Sea Fishing Simulator",2020-02-20,TRUE,FALSE,FALSE,"Mixed",40,10,9.99,9.99,0,TRUE
1770480,"VTOL VR: AH-94 Attack Helicopter",2022-01-06,TRUE,FALSE,FALSE,"Overwhelmingly Positive",97,547,11.99,11.99,0,TRUE
1251530,"Speed0",2020-09-28,TRUE,FALSE,FALSE,"Mixed",66,15,9.99,9.99,0,TRUE
1582720,"Recapture the Castle",2021-06-07,TRUE,FALSE,FALSE,"Mixed",60,15,0.99,0.99,0,TRUE
365820,"Company of Heroes 2 - The British Forces",2015-09-02,TRUE,TRUE,TRUE,"Mostly Positive",74,185,12.99,12.99,0,TRUE
823810,"Aaero - Monstercat Pack",2018-08-08,TRUE,FALSE,FALSE,"Mostly Positive",76,13,4.99,4.99,0,TRUE
368000,"100ft Robot Golf",2017-03-16,TRUE,FALSE,FALSE,"Mostly Positive",72,141,9.99,9.99,0,TRUE
402170,"Puzzle Ball",2015-10-01,TRUE,FALSE,FALSE,"Mostly Negative",38,36,2.99,2.99,0,TRUE
654350,"Cyber Utopia",2017-06-16,TRUE,FALSE,FALSE,"Mostly Negative",38,62,0.99,0.99,0,TRUE
576740,"FootRock 2",2017-06-16,TRUE,FALSE,FALSE,"Positive",85,27,0.99,0.99,0,TRUE
1089080,"Superstar Hero",2019-06-13,TRUE,TRUE,TRUE,"Mixed",55,18,0,0,0,TRUE
1158181,"Total War: WARHAMMER II - Repanse de Lyonesse",2019-12-12,TRUE,TRUE,TRUE,"Very Positive",81,514,0,0,0,TRUE
1251210,"Dungeon No Dungeon",2021-11-19,TRUE,TRUE,FALSE,"Mixed",59,410,6.99,6.99,0,TRUE
600140,"Belko VR: An Escape Room Experiment",2017-03-02,TRUE,FALSE,FALSE,"Very Positive",86,651,0,0,0,TRUE
1100300,"Gamedev Beatdown",2021-09-24,TRUE,TRUE,FALSE,"Mostly Positive",78,23,9.99,9.99,0,TRUE
804600,"Trivia Vault Football Trivia",2018-02-27,TRUE,FALSE,FALSE,"Mostly Positive",70,34,9.99,9.99,0,TRUE
259380,"PAYDAY 2: Gage Sniper Pack",2014-05-08,TRUE,FALSE,FALSE,"Very Positive",81,795,0.89,0.89,0,TRUE
1720600,"I Love Finding Cats",2021-09-20,TRUE,TRUE,FALSE,"Positive",100,13,6.99,6.99,0,TRUE
1389300,"Soulcaster",2020-09-01,TRUE,FALSE,FALSE,"Very Positive",93,59,0,0,0,TRUE
2309050,"Sea of Thieves - Wallpapers",2023-03-15,TRUE,FALSE,FALSE,"Positive",88,25,9.99,9.99,0,TRUE
586030,"Shardbound",2017-04-06,TRUE,FALSE,FALSE,"Mostly Positive",76,1206,0,0,0,TRUE
978920,"Wings of Virtus",2018-12-03,TRUE,FALSE,FALSE,"Mixed",55,18,0,0,0,TRUE
570310,"Aerofly FS 2 - Northeastern USA",2016-12-21,TRUE,TRUE,TRUE,"Positive",88,35,14.99,14.99,0,TRUE
1346680,"VR Astronomy and Geography Lab (Universe Spacecraft Solar System Earth Moon Relativity Flying over the World etc)",2020-06-28,TRUE,FALSE,FALSE,"Mixed",66,12,0,0,0,TRUE
424870,"Threads of Destiny",2015-12-04,TRUE,FALSE,FALSE,"Mixed",63,30,0.49,4.99,90,TRUE
716340,"Blackberry Honey",2017-10-24,TRUE,TRUE,TRUE,"Very Positive",97,431,12.99,12.99,0,TRUE
753380,"Metal Soldiers 2",2017-12-13,TRUE,FALSE,FALSE,"Mixed",62,24,0.99,0.99,0,TRUE
605610,"Dawn",2017-03-31,TRUE,FALSE,FALSE,"Very Positive",90,770,0,0,0,TRUE
579541,"RTK13WPK - Fan selected Re-Releases Officer Graphic Set ④ ファンが選ぶ復刻武将CGセット④",2017-03-08,TRUE,FALSE,FALSE,"Mixed",54,11,0,0,0,TRUE
113200,"The Binding of Isaac",2011-09-28,TRUE,TRUE,FALSE,"Overwhelmingly Positive",95,42729,2.24,4.99,55,TRUE
298630,"The Escapists",2015-02-13,TRUE,TRUE,TRUE,"Very Positive",90,13731,3.59,17.99,80,TRUE
359550,"Tom Clancy's Rainbow Six® Siege",2015-12-01,TRUE,FALSE,FALSE,"Very Positive",86,993312,20,0,0,TRUE
1682060,"Warriors of the Nile 2",2022-08-23,TRUE,FALSE,FALSE,"Very Positive",84,748,14.99,14.99,0,TRUE
453710,"TableTop Soccer",2016-04-22,TRUE,TRUE,TRUE,"Mostly Positive",75,81,0.99,0.99,0,TRUE
650700,"Yume Nikki",2018-01-09,TRUE,FALSE,FALSE,"Very Positive",93,5457,0,0,0,TRUE
1377450,"Knell of St. Godhrkar",2021-12-04,TRUE,TRUE,FALSE,"Very Positive",93,1028,0,0,0,TRUE
1758450,"狂神无双",2021-11-10,TRUE,FALSE,FALSE,"Very Positive",92,199,0,0,0,TRUE
1191580,"Nexomon",2020-07-10,TRUE,TRUE,FALSE,"Very Positive",89,1187,4.99,9.99,50,TRUE
1257570,"Two Point Hospital Soundtrack",2020-05-14,FALSE,FALSE,FALSE,"Positive",93,15,7.99,7.99,0,TRUE
900449,"Pathfinder: Kingmaker - Beneath The Stolen Lands",2019-06-06,TRUE,TRUE,TRUE,"Mixed",63,146,2.44,6.99,65,TRUE
1373780,"Bakery Magnate: Beginning",2020-08-23,TRUE,FALSE,FALSE,"Very Positive",85,854,0,0,0,TRUE
1923720,"Wildlife Planet: The Incremental",2022-08-25,TRUE,TRUE,FALSE,"Mixed",61,21,2.99,2.99,0,TRUE
1193590,"Abomi Nation",2021-07-28,TRUE,FALSE,FALSE,"Very Positive",87,85,19.99,19.99,0,TRUE
1104380,"The Room VR: A Dark Matter",2020-03-26,TRUE,FALSE,FALSE,"Overwhelmingly Positive",97,2893,29.99,29.99,0,TRUE
661970,"SPACE BATTLE: Humanity",2017-07-19,TRUE,FALSE,FALSE,"Mostly Negative",28,14,1.99,1.99,0,TRUE
21780,"Driver® Parallel Lines",2009-02-13,TRUE,FALSE,FALSE,"Very Positive",90,865,9.99,9.99,0,TRUE
1225820,"Hermitage: Strange Case Files",2021-10-26,TRUE,FALSE,FALSE,"Mixed",68,22,9.99,19.99,50,TRUE
1202170,"Barbarous - Tavern Of Emyr",2020-02-27,TRUE,TRUE,FALSE,"Positive",93,33,9.99,9.99,0,TRUE
1223060,"Northgard - Himminbrjotir Clan of the Ox",2020-01-29,TRUE,TRUE,TRUE,"Mostly Positive",75,123,4.99,4.99,0,TRUE
1714320,"Find Love or Die Trying",2021-09-16,TRUE,TRUE,TRUE,"Overwhelmingly Positive",96,8149,0,0,0,TRUE
2410761,"Guilty Gear 25th Anniversary Colors",2023-05-25,TRUE,FALSE,FALSE,"Positive",88,26,7.99,7.99,0,TRUE
1868280,"Coins Collector Simulator",2022-02-04,TRUE,FALSE,FALSE,"Mixed",68,16,9.99,9.99,0,TRUE
1159030,"Euro Truck Simulator 2 - Bulgarian Paint Jobs  Pack",2019-12-05,TRUE,TRUE,TRUE,"Very Positive",88,59,0.99,0.99,0,TRUE
708190,"Code World",2017-09-11,TRUE,FALSE,FALSE,"Mostly Positive",76,38,4.99,4.99,0,TRUE
